Nombre_Articulo,Nombre_Producto,Nombre_Color,PeriodoMes,Tipo,Unidades,Valor_USD
Fuentes,FUENTE CASTELLI BLANCO,BLANCO,202006,Continuo,35,1779.42
Fuentes,FUENTE CASTELLI BLANCO,BLANCO,202007,Continuo,59,2819.18
Fuentes,FUENTE CASTELLI BLANCO,BLANCO,202008,Continuo,48,2260.86
Fuentes,FUENTE CASTELLI BLANCO,BLANCO,202009,Continuo,47,2663.78
Fuentes,FUENTE CASTELLI BLANCO,BLANCO,202010,Continuo,15,826.83
Fuentes,FUENTE CASTELLI BLANCO,BLANCO,202011,Continuo,15,998.8
Fuentes,FUENTE CASTELLI BLANCO,BLANCO,202012,Continuo,39,1612.77
Fuentes,FUENTE CASTELLI BONE,BONE,202001,Esporadico,3,172.84
Fuentes,FUENTE CASTELLI BONE,BONE,202002,Esporadico,2,95.52
Fuentes,FUENTE CASTELLI BONE,BONE,202003,Esporadico,,
Fuentes,FUENTE CASTELLI BONE,BONE,202006,Esporadico,4,275.31
Fuentes,FUENTE CASTELLI BONE,BONE,202007,Esporadico,7,373.13
Fuentes,FUENTE CASTELLI BONE,BONE,202008,Esporadico,5,256.67
Fuentes,FUENTE CASTELLI BONE,BONE,202009,Esporadico,4,267.12
Fuentes,FUENTE CASTELLI BONE,BONE,202010,Esporadico,8,382.08
Fuentes,FUENTE CASTELLI BONE,BONE,202011,Esporadico,8,275.07
Fuentes,FUENTE CASTELLI BONE,BONE,202012,Esporadico,3,143.28
Fuentes,FUENTE ELEGANZA BONE,BONE,202001,Esporadico,1,48.7
Fuentes,FUENTE FAENZA SLIM BLANCO,BLANCO,202001,Continuo,72,2975.99
Fuentes,FUENTE FAENZA SLIM BLANCO,BLANCO,202002,Continuo,68,2809.33
Fuentes,FUENTE FAENZA SLIM BLANCO,BLANCO,202003,Continuo,34,1428.4
Fuentes,FUENTE FAENZA SLIM BLANCO,BLANCO,202006,Continuo,21,899.32
Fuentes,FUENTE FAENZA SLIM BLANCO,BLANCO,202007,Continuo,58,2431.68
Fuentes,FUENTE FAENZA SLIM BLANCO,BLANCO,202008,Continuo,86,3572.08
Fuentes,FUENTE FAENZA SLIM BLANCO,BLANCO,202009,Continuo,61,2621.63
Fuentes,FUENTE FAENZA SLIM BLANCO,BLANCO,202010,Continuo,99,3799.6
Fuentes,FUENTE FAENZA SLIM BLANCO,BLANCO,202011,Continuo,108,4444.86
Fuentes,FUENTE FAENZA SLIM BLANCO,BLANCO,202012,Continuo,47,2086.06
Fuentes,FUENTE FONTANA BLANCO,BLANCO,202001,Continuo,21,2054.45
Fuentes,FUENTE FONTANA BLANCO,BLANCO,202002,Continuo,8,869.73
Fuentes,FUENTE FONTANA BLANCO,BLANCO,202003,Continuo,1,122.11
Fuentes,FUENTE FONTANA BLANCO,BLANCO,202005,Continuo,1,112.25
Fuentes,FUENTE FONTANA BLANCO,BLANCO,202006,Continuo,14,1363.44
Fuentes,FUENTE FONTANA BLANCO,BLANCO,202007,Continuo,15,1438.32
Fuentes,FUENTE FONTANA BLANCO,BLANCO,202008,Continuo,15,1523.83
Fuentes,FUENTE FONTANA BLANCO,BLANCO,202009,Continuo,27,2574.05
Fuentes,FUENTE FONTANA BLANCO,BLANCO,202010,Continuo,29,2855.15
Fuentes,FUENTE FONTANA BLANCO,BLANCO,202011,Continuo,16,1525.33
Fuentes,FUENTE FONTANA BLANCO,BLANCO,202012,Continuo,28,2404.51
Fuentes,FUENTE GIORGIO BLANCO,BLANCO,202010,Esporadico,1,41.17
Fuentes,FUENTE LIVENZA BLANCO,BLANCO,202001,Continuo,56,2734.22
Fuentes,FUENTE LIVENZA BLANCO,BLANCO,202002,Continuo,23,1339.36
Fuentes,FUENTE LIVENZA BLANCO,BLANCO,202003,Continuo,3,200.01
Fuentes,FUENTE LIVENZA BLANCO,BLANCO,202006,Continuo,21,1154.16
Fuentes,FUENTE LIVENZA BLANCO,BLANCO,202007,Continuo,42,2040.8
Fuentes,FUENTE LIVENZA BLANCO,BLANCO,202008,Continuo,22,1133.93
Fuentes,FUENTE LIVENZA BLANCO,BLANCO,202009,Continuo,13,728.5
Fuentes,FUENTE LIVENZA BLANCO,BLANCO,202010,Continuo,24,1364.05
Fuentes,FUENTE LIVENZA BLANCO,BLANCO,202011,Continuo,,
Fuentes,FUENTE LIVENZA BLANCO,BLANCO,202012,Continuo,45,2378.62
Fuentes,FUENTE LIVENZA BONE,BONE,202001,Esporadico,3,185.85
Fuentes,FUENTE LIVENZA BONE,BONE,202002,Esporadico,6,367.36
Fuentes,FUENTE LIVENZA BONE,BONE,202003,Esporadico,2,116.98
Fuentes,FUENTE LIVENZA BONE,BONE,202006,Esporadico,1,61.34
Fuentes,FUENTE LIVENZA BONE,BONE,202007,Esporadico,6,419.01
Fuentes,FUENTE LIVENZA BONE,BONE,202008,Esporadico,10,596.3
Fuentes,FUENTE LIVENZA BONE,BONE,202009,Esporadico,3,208.7
Fuentes,FUENTE LIVENZA BONE,BONE,202010,Esporadico,12,716.73
Fuentes,FUENTE LIVENZA BONE,BONE,202011,Esporadico,,
Fuentes,FUENTE LIVENZA BONE,BONE,202012,Esporadico,3,242.63
Fuentes,FUENTE LUGANO BLANCO,BLANCO,202001,Continuo,298,9410.62
Fuentes,FUENTE LUGANO BLANCO,BLANCO,202002,Continuo,357,10526.65
Fuentes,FUENTE LUGANO BLANCO,BLANCO,202003,Continuo,127,4159.91
Fuentes,FUENTE LUGANO BLANCO,BLANCO,202005,Continuo,15,630.64
Fuentes,FUENTE LUGANO BLANCO,BLANCO,202006,Continuo,265,8567.71
Fuentes,FUENTE LUGANO BLANCO,BLANCO,202007,Continuo,257,8114.95
Fuentes,FUENTE LUGANO BLANCO,BLANCO,202008,Continuo,329,10607.2
Fuentes,FUENTE LUGANO BLANCO,BLANCO,202009,Continuo,411,11411.84
Fuentes,FUENTE LUGANO BLANCO,BLANCO,202010,Continuo,328,9381.36
Fuentes,FUENTE LUGANO BLANCO,BLANCO,202011,Continuo,389,11821.72
Fuentes,FUENTE LUGANO BLANCO,BLANCO,202012,Continuo,367,9155.28
Fuentes,FUENTE LUGANO BONE,BONE,202001,Continuo,61,1865.49
Fuentes,FUENTE LUGANO BONE,BONE,202002,Continuo,83,2662.09
Fuentes,FUENTE LUGANO BONE,BONE,202003,Continuo,22,765.3
Fuentes,FUENTE LUGANO BONE,BONE,202005,Continuo,1,37.03
Fuentes,FUENTE LUGANO BONE,BONE,202006,Continuo,36,1330.24
Fuentes,FUENTE LUGANO BONE,BONE,202007,Continuo,26,1032.92
Fuentes,FUENTE LUGANO BONE,BONE,202008,Continuo,34,1237.56
Fuentes,FUENTE LUGANO BONE,BONE,202009,Continuo,50,1553.42
Fuentes,FUENTE LUGANO BONE,BONE,202010,Continuo,56,1725.83
Fuentes,FUENTE LUGANO BONE,BONE,202011,Continuo,26,857.11
Fuentes,FUENTE LUGANO BONE,BONE,202012,Continuo,34,906.27
Fuentes,FUENTE MALIBU BLANCO,BLANCO,202001,Continuo,35,1613.63
Fuentes,FUENTE MALIBU BLANCO,BLANCO,202002,Continuo,29,1276.91
Fuentes,FUENTE MALIBU BLANCO,BLANCO,202003,Continuo,26,1190.77
Fuentes,FUENTE MALIBU BLANCO,BLANCO,202005,Continuo,1,44.73
Fuentes,FUENTE MALIBU BLANCO,BLANCO,202006,Continuo,50,2231.81
Fuentes,FUENTE MALIBU BLANCO,BLANCO,202007,Continuo,41,1871.61
Fuentes,FUENTE MALIBU BLANCO,BLANCO,202008,Continuo,,
Fuentes,FUENTE MALIBU BLANCO,BLANCO,202009,Continuo,56,2604.27
Fuentes,FUENTE MALIBU BLANCO,BLANCO,202010,Continuo,52,2456.82
Fuentes,FUENTE MALIBU BLANCO,BLANCO,202010,Esporadico,4,150.56
Fuentes,FUENTE MALIBU BLANCO,BLANCO,202011,Continuo,,
Fuentes,FUENTE MALIBU BLANCO,BLANCO,202011,Esporadico,1,43.77
Fuentes,FUENTE MALIBU BLANCO,BLANCO,202012,Continuo,70,3122.1
Fuentes,FUENTE OVAL SLIM BLANCO,BLANCO,202001,Continuo,110,4530.18
Fuentes,FUENTE OVAL SLIM BLANCO,BLANCO,202002,Continuo,54,2199.94
Fuentes,FUENTE OVAL SLIM BLANCO,BLANCO,202003,Continuo,39,1588.99
Fuentes,FUENTE OVAL SLIM BLANCO,BLANCO,202005,Continuo,2,108
Fuentes,FUENTE OVAL SLIM BLANCO,BLANCO,202006,Continuo,47,1974.08
Fuentes,FUENTE OVAL SLIM BLANCO,BLANCO,202007,Continuo,82,3421.5
Fuentes,FUENTE OVAL SLIM BLANCO,BLANCO,202008,Continuo,65,2621.41
Fuentes,FUENTE OVAL SLIM BLANCO,BLANCO,202009,Continuo,96,4008.81
Fuentes,FUENTE OVAL SLIM BLANCO,BLANCO,202010,Continuo,71,2996.44
Fuentes,FUENTE OVAL SLIM BLANCO,BLANCO,202011,Continuo,99,4118.51
Fuentes,FUENTE OVAL SLIM BLANCO,BLANCO,202012,Continuo,49,2117.87
Fuentes,FUENTE PRAGA BLANCO,BLANCO,202001,Continuo,14,785.61
